person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,emp_length_missing,int_rate_missing
22.0,59000,RENT,14.5,PERSONAL,D,23125,16.02,1,0.44000000000000006,Y,3.0,0,0
21.0,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2.0,0,0
25.0,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.44000000000000006,N,3.0,0,0
23.0,65500,RENT,4.0,MEDICAL,C,23125,15.23,1,0.44000000000000006,N,2.0,0,0
24.0,54400,RENT,8.0,MEDICAL,C,23125,14.27,1,0.44000000000000006,Y,4.0,0,0
21.0,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2.0,0,0
26.0,77100,RENT,8.0,EDUCATION,B,23125,12.42,1,0.44000000000000006,N,3.0,0,0
24.0,78956,RENT,5.0,MEDICAL,B,23125,11.11,1,0.44,N,4.0,0,0
24.0,83000,RENT,8.0,PERSONAL,A,23125,8.9,1,0.42,N,2.0,0,0
21.0,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3.0,0,0
22.0,85000,RENT,6.0,VENTURE,B,23125,10.37,1,0.41,N,4.0,0,0
21.0,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.44000000000000006,N,2.0,0,0
23.0,95000,RENT,2.0,VENTURE,A,23125,7.9,1,0.37,N,2.0,0,0
26.0,108160,RENT,4.0,EDUCATION,E,23125,18.39,1,0.32,N,4.0,0,0
23.0,115000,RENT,2.0,EDUCATION,A,23125,7.9,0,0.3,N,4.0,0,0
23.0,140232,MORTGAGE,7.0,DEBTCONSOLIDATION,B,23125,10.65,0,0.06,N,3.0,0,0
23.0,120000,RENT,0.0,EDUCATION,A,23125,7.9,0,0.29,N,4.0,0,0
23.0,92111,RENT,7.0,MEDICAL,F,23125,20.04,1,0.32,N,4.0,0,0
23.0,113000,RENT,8.0,DEBTCONSOLIDATION,D,23125,18.25,1,0.31,N,4.0,0,0
24.0,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2.0,0,0
